SRC_ADD,PKT_ID,TO_NODE,PKT_SIZE,NUMBER_OF_PKT,NUMBER_OF_BYTE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,PKT_CLASS,Timestamp
8,20340,24,2816,210,591360,23.03,64848.31,2816,HTTP-FLOOD,21/02/2018 11:56:54 PM
19,20351,24,55691,210,11695110,22.97,1279080.07,55691,HTTP-FLOOD,16/02/2018 11:16:50 PM
5,1031,21,899,210,188790,23.11,20774.3,899,HTTP-FLOOD,16/02/2018 11:21:26 PM
9,20341,23,6594,210,1384740,23,151675.65,6594,HTTP-FLOOD,22/02/2018 12:09:45 AM
10,47194,24,42330,210,8889300,23.2,982137.72,42330,HTTP-FLOOD,21/02/2018 11:46:28 PM
16,46108,22,43862,210,9211020,23.04,1010657.91,43862,HTTP-FLOOD,16/02/2018 11:25:37 PM
19,26804,23,49324,210,10358040,22.97,1132846.34,49324,HTTP-FLOOD,16/02/2018 11:19:21 PM
7,71766,23,65405,210,13735050,23.06,1507914.13,65405,HTTP-FLOOD,22/02/2018 12:15:24 AM
5,59969,21,4470,210,938700,23.11,103293.79,4470,HTTP-FLOOD,16/02/2018 11:23:00 PM
16,42936,22,19144,210,4020240,23.04,441111.56,19144,HTTP-FLOOD,16/02/2018 11:18:31 PM
3,12899,23,7051,210,1480710,23.16,163313,7051,HTTP-FLOOD,16/02/2018 11:18:27 PM
6,59970,21,2532,210,531720,23.08,58442.61,2532,HTTP-FLOOD,16/02/2018 11:18:32 PM
6,42926,23,6088,210,1278480,23.08,140520.78,6088,HTTP-FLOOD,22/02/2018 12:19:22 AM
2,47186,21,48304,210,10143840,23.19,1120097.21,48304,HTTP-FLOOD,20/02/2018 10:25:14
11,26796,22,63561,210,13347810,23.18,1473031.32,63561,HTTP-FLOOD,22/02/2018 12:04:26 AM
8,36480,23,33578,210,7051380,23.03,773251.57,33578,HTTP-FLOOD,16/02/2018 11:21:51 PM
18,2136,24,3668,210,770280,22.99,84323.17,3668,HTTP-FLOOD,16/02/2018 11:18:02 PM
7,41834,21,44159,210,9273390,23.06,1018087,44159,HTTP-FLOOD,16/02/2018 11:18:05 PM
14,45118,23,56850,210,11938500,23.09,1312945.44,56850,HTTP-FLOOD,16/02/2018 11:17:50 PM
1,40737,23,15004,210,3150840,23.22,348323.54,15004,HTTP-FLOOD,16/02/2018 11:22:20 PM
9,71768,24,40509,210,8506890,23,931790.87,40509,HTTP-FLOOD,20/02/2018 10:36:19
10,52555,22,30853,210,6479130,23.2,715849.16,30853,HTTP-FLOOD,22/02/2018 12:17:10 AM
17,30079,24,46488,210,9762480,23.02,1069934.69,46488,HTTP-FLOOD,20/02/2018 10:30:56
2,16070,24,12341,210,2591610,23.19,286169.25,12341,HTTP-FLOOD,20/02/2018 10:56:39
7,10719,21,50874,210,10683540,23.06,1172901.52,50874,HTTP-FLOOD,16/02/2018 11:22:19 PM
2,17162,21,50930,210,10695300,23.19,1180990.2,50930,HTTP-FLOOD,22/02/2018 12:02:51 AM
20,77750,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:17:31 PM
8,8,21,11609,210,2437890,23.03,267338.06,11609,HTTP-FLOOD,22/02/2018 12:33:21 AM
6,49379,23,1982,210,416220,23.08,45747.73,1982,HTTP-FLOOD,16/02/2018 11:23:43 PM
20,71246,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,21/02/2018 11:51:24 PM
20,60879,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,22/02/2018 12:33:37 AM
3,56776,21,8897,210,1868370,23.16,206069.46,8897,HTTP-FLOOD,16/02/2018 11:17:59 PM
7,47,24,46829,210,9834090,23.06,1079643.93,46829,HTTP-FLOOD,21/02/2018 11:41:51 PM
20,73656,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:17:18 PM
4,34330,23,34523,210,7249830,23.13,798687.04,34523,HTTP-FLOOD,22/02/2018 12:10:58 AM
14,10726,22,63248,210,13282080,23.09,1460706.66,63248,HTTP-FLOOD,16/02/2018 11:18:35 PM
10,34336,23,40945,210,8598450,23.2,950003.04,40945,HTTP-FLOOD,16/02/2018 11:21:42 PM
20,62008,21,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 11:17:22 PM
18,30080,22,63125,210,13256250,22.99,1451172.3,63125,HTTP-FLOOD,16/02/2018 11:28:13 PM
3,54732,21,20669,210,4340490,23.16,478728.75,20669,HTTP-FLOOD,16/02/2018 11:21:30 PM
6,1032,24,27192,210,5710320,23.08,627634.87,27192,HTTP-FLOOD,16/02/2018 11:23:52 PM
3,3213,24,35876,210,7533960,23.16,830948.42,35876,HTTP-FLOOD,16/02/2018 08:05:18 PM
9,7483,24,19642,210,4124820,23,451806.66,19642,HTTP-FLOOD,16/02/2018 11:15:46 PM
9,49,24,42699,210,8966790,23,982165.4,42699,HTTP-FLOOD,20/02/2018 10:38:08
10,62112,22,61432,210,12900720,23.2,1425340.99,61432,HTTP-FLOOD,16/02/2018 11:16:59 PM
13,68543,22,41987,210,8817270,23.12,970805.38,41987,HTTP-FLOOD,16/02/2018 11:21:17 PM
16,16084,24,52701,210,11067210,23.04,1214324.08,52701,HTTP-FLOOD,21/02/2018 11:53:32 PM
11,56784,22,39985,210,8396850,23.18,926655.61,39985,HTTP-FLOOD,21/02/2018 11:58:51 PM
5,32213,23,6554,210,1376340,23.11,151451.35,6554,HTTP-FLOOD,16/02/2018 11:23:53 PM
7,27885,24,15576,210,3270960,23.06,359105.12,15576,HTTP-FLOOD,16/02/2018 11:16:17 PM
1,2119,23,57239,210,12020190,23.22,1328825.05,57239,HTTP-FLOOD,22/02/2018 12:01:45 AM
8,45112,21,25983,210,5456430,23.03,598349.97,25983,HTTP-FLOOD,22/02/2018 12:20:35 AM
19,5375,22,38473,210,8079330,22.97,883626.57,38473,HTTP-FLOOD,16/02/2018 11:18:35 PM
1,27879,23,18888,210,3966480,23.22,438492.07,18888,HTTP-FLOOD,16/02/2018 11:21:35 PM
13,41840,23,62178,210,13057380,23.12,1437653.02,62178,HTTP-FLOOD,22/02/2018 12:13:55 AM
20,77615,25,55,7085,389675,94.72,5209.67,55,HTTP-FLOOD,16/02/2018 08:17:39 PM
12,49385,22,30375,210,6378750,23.15,703129.5,30375,HTTP-FLOOD,16/02/2018 11:16:34 PM
13,5369,23,8822,210,1852620,23.12,203978.5,8822,HTTP-FLOOD,22/02/2018 12:00:03 AM
8,45112,23,10029,210,2106090,23.03,230953,10029,HTTP-FLOOD,16/02/2018 11:16:14 PM
16,8582,24,8250,210,1732500,23.04,190094.56,8250,HTTP-FLOOD,16/02/2018 07:47:40 PM
3,52548,21,55311,210,11615310,23.16,1281095.66,55311,HTTP-FLOOD,21/02/2018 11:49:37 PM
14,18266,23,48870,210,10262700,23.09,1128648.09,48870,HTTP-FLOOD,16/02/2018 11:26:01 PM
